Resource;Quantity
Aketon;203
Bipolar Nanoflake;36
Caster Chip;85
Caster Dualchip;22
Coagulating Gel;76
Crystalline Component;17
Crystalline Electroassembly;12
D32 Steel;40
Damaged Device;122
Defender Chip;81
Defender Dualchip;20
Device;257
Diketon;149
Ester;194
Grindstone;124
Grindstone Pentahydrate;22
Guard Chip;133
Guard Chip Pack;5
Guard Dualchip;27
Incandescent Alloy;53
Incandescent Alloy Block;23
Integrated Device;115
Keton Colloid;47
LMD;9800000
Loxic Kohl;213
Manganese Ore;117
Manganese Trihydrate;26
Medic Chip;62
Medic Chip Pack;5
Medic Dualchip;14
Optimized Device;29
Orirock;247
Orirock Cluster;234
Orirock Concentration;45
Orirock Cube;559
Oriron;369
Oriron Block;29
Oriron Cluster;163
Oriron Shard;156
Polyester;418
Polyester Lump;19
Polyester Pack;86
Polyketon;340
Polymerization Preparation;44
Polymerized Gel;20
RMA70-12;102
RMA70-24;20
Skill Summary - 1;1258
Skill Summary - 2;2340
Skill Summary - 3;961
Sniper Chip;102
Sniper Chip Pack;10
Sniper Dualchip;20
Specialist Chip;71
Specialist Chip Pack;5
Specialist Dualchip;8
Sugar;406
Sugar Lump;10
Sugar Pack;75
Sugar Substitute;184
Supporter Chip;61
Supporter Dualchip;8
Vanguard Chip;54
Vanguard Chip Pack;10
Vanguard Dualchip;11
White Horse Kohl;28
