Resource;Quantity
Aketon;440
Bipolar Nanoflake;598
Caster Chip;8
Caster Chip Pack;25
Caster Dualchip;39
Coagulating Gel;195
Compound Cutting Fluid;13
Crystalline Circuit;112
Crystalline Component;23
Crystalline Electroassembly;140
Cutting Stock Solution;30
D32 Steel;514
Damaged Device;14
Defender Chip;4
Defender Chip Pack;25
Defender Dualchip;34
Device;60
Diketon;18
Ester;17
Grindstone;426
Grindstone Pentahydrate;684
Guard Chip;17
Guard Chip Pack;50
Guard Dualchip;63
Incandescent Alloy;144
Incandescent Alloy Block;425
Integrated Device;329
Keton Colloid;614
LMD;15670000
Loxic Kohl;483
Manganese Ore;416
Manganese Trihydrate;608
Medic Chip;4
Medic Chip Pack;20
Medic Dualchip;25
Optimized Device;442
Orirock;30
Orirock Cluster;542
Orirock Concentration;701
Orirock Cube;134
Oriron;71
Oriron Block;583
Oriron Cluster;316
Oriron Shard;14
Polyester;67
Polyester Lump;336
Polyester Pack;201
Polyketon;81
Polymerization Preparation;508
Polymerized Gel;517
RMA70-12;355
RMA70-24;612
Refined Solvent;32
Semi-natural Solvent;34
Skill Summary - 1;132
Skill Summary - 2;795
Skill Summary - 3;9677
Sniper Chip;10
Sniper Chip Pack;30
Sniper Dualchip;48
Specialist Chip;17
Specialist Chip Pack;20
Specialist Dualchip;48
Sugar;75
Sugar Lump;340
Sugar Pack;231
Sugar Substitute;23
Supporter Chip;3
Supporter Chip Pack;20
Supporter Dualchip;32
Vanguard Chip;5
Vanguard Chip Pack;15
Vanguard Dualchip;23
White Horse Kohl;697
