Resource;Quantity
Aketon;460
Bipolar Nanoflake;588
Caster Chip;8
Caster Chip Pack;25
Caster Dualchip;39
Coagulating Gel;196
Crystalline Circuit;105
Crystalline Component;20
Crystalline Electroassembly;136
Cutting Stock Solution;12
D32 Steel;504
Damaged Device;26
Defender Chip;0
Defender Chip Pack;25
Defender Dualchip;31
Device;79
Diketon;29
Ester;17
Grindstone;438
Grindstone Pentahydrate;680
Guard Chip;21
Guard Chip Pack;50
Guard Dualchip;63
Incandescent Alloy;153
Incandescent Alloy Block;425
Integrated Device;335
Keton Colloid;601
LMD;15430000
Loxic Kohl;506
Manganese Ore;415
Manganese Trihydrate;599
Medic Chip;9
Medic Chip Pack;20
Medic Dualchip;25
Optimized Device;439
Orirock;34
Orirock Cluster;558
Orirock Concentration;701
Orirock Cube;159
Oriron;73
Oriron Block;580
Oriron Cluster;334
Oriron Shard;19
Polyester;88
Polyester Lump;336
Polyester Pack;201
Polyketon;94
Polymerization Preparation;502
Polymerized Gel;509
RMA70-12;355
RMA70-24;607
Refined Solvent;17
Semi-natural Solvent;31
Skill Summary - 1;168
Skill Summary - 2;972
Skill Summary - 3;9616
Sniper Chip;5
Sniper Chip Pack;30
Sniper Dualchip;44
Specialist Chip;22
Specialist Chip Pack;20
Specialist Dualchip;48
Sugar;95
Sugar Lump;340
Sugar Pack;234
Sugar Substitute;27
Supporter Chip;8
Supporter Chip Pack;20
Supporter Dualchip;32
Vanguard Chip;5
Vanguard Chip Pack;15
Vanguard Dualchip;23
White Horse Kohl;674
