Resource;Quantity
Aketon;643
Bipolar Nanoflake;624
Caster Chip;93
Caster Chip Pack;25
Caster Dualchip;61
Coagulating Gel;267
Crystalline Circuit;105
Crystalline Component;37
Crystalline Electroassembly;148
Cutting Stock Solution;12
D32 Steel;544
Damaged Device;132
Defender Chip;81
Defender Chip Pack;25
Defender Dualchip;51
Device;315
Diketon;167
Ester;207
Grindstone;546
Grindstone Pentahydrate;702
Guard Chip;150
Guard Chip Pack;55
Guard Dualchip;90
Incandescent Alloy;190
Incandescent Alloy Block;448
Integrated Device;436
Keton Colloid;648
LMD;25120000
Loxic Kohl;696
Manganese Ore;527
Manganese Trihydrate;625
Medic Chip;66
Medic Chip Pack;25
Medic Dualchip;39
Optimized Device;468
Orirock;277
Orirock Cluster;771
Orirock Concentration;746
Orirock Cube;679
Oriron;432
Oriron Block;609
Oriron Cluster;479
Oriron Shard;170
Polyester;482
Polyester Lump;355
Polyester Pack;287
Polyketon;410
Polymerization Preparation;546
Polymerized Gel;529
RMA70-12;454
RMA70-24;627
Refined Solvent;17
Semi-natural Solvent;31
Skill Summary - 1;1372
Skill Summary - 2;3093
Skill Summary - 3;10477
Sniper Chip;107
Sniper Chip Pack;40
Sniper Dualchip;64
Specialist Chip;88
Specialist Chip Pack;25
Specialist Dualchip;56
Sugar;477
Sugar Lump;350
Sugar Pack;306
Sugar Substitute;200
Supporter Chip;64
Supporter Chip Pack;20
Supporter Dualchip;40
Vanguard Chip;59
Vanguard Chip Pack;25
Vanguard Dualchip;34
White Horse Kohl;702
