Resource;Quantity
Aketon;191
Bipolar Nanoflake;36
Caster Chip;85
Caster Dualchip;22
Coagulating Gel;71
Crystalline Component;17
Crystalline Electroassembly;12
D32 Steel;40
Damaged Device;118
Defender Chip;81
Defender Dualchip;20
Device;245
Diketon;143
Ester;190
Grindstone;116
Grindstone Pentahydrate;22
Guard Chip;129
Guard Chip Pack;5
Guard Dualchip;27
Incandescent Alloy;37
Incandescent Alloy Block;23
Integrated Device;107
Keton Colloid;47
LMD;9690000
Loxic Kohl;198
Manganese Ore;112
Manganese Trihydrate;26
Medic Chip;57
Medic Chip Pack;5
Medic Dualchip;14
Optimized Device;29
Orirock;243
Orirock Cluster;234
Orirock Concentration;45
Orirock Cube;540
Oriron;359
Oriron Block;29
Oriron Cluster;154
Oriron Shard;151
Polyester;399
Polyester Lump;19
Polyester Pack;86
Polyketon;316
Polymerization Preparation;44
Polymerized Gel;20
RMA70-12;99
RMA70-24;20
Skill Summary - 1;1220
Skill Summary - 2;2208
Skill Summary - 3;909
Sniper Chip;102
Sniper Chip Pack;10
Sniper Dualchip;20
Specialist Chip;66
Specialist Chip Pack;5
Specialist Dualchip;8
Sugar;387
Sugar Lump;10
Sugar Pack;75
Sugar Substitute;173
Supporter Chip;56
Supporter Dualchip;8
Vanguard Chip;54
Vanguard Chip Pack;10
Vanguard Dualchip;11
White Horse Kohl;28
